Lexicon,Category,,Major category,
sanitario,5,,,
sax,4,,,
saxo,4,,,
saxofon,4,,,
saxofón,4,,,
saxophone,4,,,
school,3,,,
scream,3,,,
screaming,3,,,
sea,2,,,
shore,2,,,
shout,3,,,
shower,5,,,
silbar,4,,,
silbato,4,,,
sing,4,,,
singing,4,,,
sintetizador,4,,,
slam,5,,,
sonar,4,,,
song,4,,,
sonido metalico,6,,,
sonido metálico,6,,,
speak,3,,,
speaking,3,,,
speech,3,,,
splash,2,,,
spoken,3,,,
storm,2,,,
street,3,,,
subterraneo,1,,,
subterráneo,1,,,
subway,1,,,
synth,4,,,
synthesizer,4,,,
taladro,6,,,
talk,3,,,
talking,3,,,
tambor,4,,,
tambores,4,,,
teclado,4,,,
thunder,2,,,
thunderstorm,2,,,
tintineo,6,,,
toilet,5,,,
tools,6,,,
tormenta,2,,,
toser,3,,,
traffic,1,,,
trafico,1,,,
tráfico,1,,,
train,1,,,
trees,2,,,
tren,1,,,
trompeta,4,,,
truck,1,,,
trueno,2,,,
trumpet,4,,,
tube,1,,,
underground,1,,,
vehicle,1,,,
vehiculo,1,,,
vehículo,1,,,
ventana,5,,,
via ferrea,1,,,
vía férrea,1,,,
vidrio,5,,,
viento,2,,,
viento madera,4,,,
violin,4,,,
violín,4,,,
violoncelo,4,,,
vocal,4,,,
vocals,4,,,
voces,3,,,
voice,3,,,
voices,3,,,
voz,3,,,
walk,3,,,
walking,3,,,
water,2,,,
waves,2,,,
whistle,4,,,
wind,2,,,
window,5,,,
wood,2,,,
woods,2,,,
woodwind,4,,,
yell,3,,,
yelling,3,,,
Alert,1,,,
applauding,5,,,
automobile,1,,,
beatbox,3,,,
bicycle,1,,,
calculator,5,,,
claps,5,,,
driving,1,,,
fieldrecording,2,,,
field-recording,2,,,
foley,6,,,
guitarist,4,,,
hand-clapping,5,,,
indoor,5,,,
kids-playing,5,,,
Locomotive,1,,,
Loud-Speaker,4,,,
mechanism,6,,,
natural-soundscape,2,,,
nature-symphony,2,,,
play,5,,,
printer,6,,,
reserve,2,,,
reverberation,4,,,
splashing,3,,,
Station,1,,,
Trains,1,,,
transport,1,,,
